module_skill_id,module_skill_key,module_id,skill_id,order_no,status,created_at,updated_at
438,541f6595d93c83d8cfa9fabb74652037,193,275,0,1,2018-06-22 19:33:53.0,2018-06-22 19:33:53.0
439,7dff395ae3977108cb5692d9b1412836,197,278,0,1,2018-06-22 19:34:48.0,2018-06-22 19:34:48.0
440,76ea5e3b9644af0f24150b2900f7c214,199,281,0,1,2018-06-22 19:35:10.0,2018-06-22 19:35:10.0
441,9285c5c66ca283d4d26a0b443a43c384,200,282,0,1,2018-06-22 19:35:38.0,2018-06-22 19:35:38.0
442,7b4ce0ea5e76f57cffca9c84c9029d94,204,373,0,1,2018-06-22 19:36:00.0,2018-06-22 19:36:00.0
443,44b22d04445c891f929a2ddad5dd4133,207,285,0,0,2018-06-22 19:36:22.0,2018-10-11 19:34:50.0
444,fbc1a95d80b8a9b0b6cbbe6b1d3b52bb,210,284,0,1,2018-06-22 19:37:03.0,2018-06-22 19:37:03.0
445,c53804f5a4ef2697beefe05653801443,209,287,0,1,2018-06-22 19:37:19.0,2018-06-22 19:37:19.0
446,cc0f522aa730c9158ad7d88095bba095,215,293,0,0,2018-06-22 19:38:32.0,2018-10-12 15:21:40.0
447,ffa593e49412cda67013f0d899b63ce2,219,290,0,1,2018-06-22 19:38:51.0,2018-06-22 19:38:51.0
448,14b87f49a1237ea426a7d181fcf17219,217,295,0,1,2018-06-22 19:39:13.0,2018-06-22 19:39:13.0
449,a8891b8a14ba2b83fff894c704410c05,220,481,0,1,2018-06-22 19:40:10.0,2018-06-22 19:40:10.0
450,967b14a0f6b392d5ffc278f1f79fb165,221,302,0,1,2018-06-22 19:40:34.0,2018-06-22 19:40:34.0
451,c3618b49e42f35fea47a1456b0c468dc,223,303,0,1,2018-06-22 19:41:10.0,2018-06-22 19:41:10.0
452,8e2ae4bde8c51b5ec136c9868f45f09c,222,304,0,1,2018-06-22 19:41:32.0,2018-06-22 19:41:32.0
453,813cea9141eec00066741e3bafaae11c,229,497,0,1,2018-06-22 19:41:53.0,2018-06-22 19:41:53.0
454,63ba0435dae749ba1652bf782625312a,140,245,0,1,2018-06-22 19:42:31.0,2018-06-22 19:42:31.0
455,caaf3efce535a37ef13fbf1dbc92102f,142,370,0,1,2018-06-22 19:43:05.0,2018-06-22 19:43:05.0
456,cc37c138c2497b76bff92eda055870d1,141,246,0,1,2018-06-22 19:43:37.0,2018-06-22 19:43:37.0
457,b26d56d635c7e1ae7dedff74d37c731e,147,363,0,0,2018-06-22 19:44:10.0,2018-10-12 18:43:00.0
458,0176a71116749e6718c02caf596bfe51,227,364,0,1,2018-06-22 19:48:01.0,2018-06-22 19:48:01.0
459,510f43693700124f2a7f125a5d70859f,226,418,0,1,2018-06-22 19:48:29.0,2018-06-22 19:48:29.0
460,9f9dd5829206ac3d8dd39d6d5d0dd36e,216,362,0,1,2018-06-22 19:50:31.0,2018-06-22 19:50:31.0
461,f030aff5e278d8a209f3b744f95eadd8,190,240,0,1,2018-06-22 19:51:16.0,2018-06-22 19:51:16.0
462,eeb74f0344c3743ce78e24d877e9cf94,192,278,0,1,2018-06-22 19:51:47.0,2018-10-11 16:27:19.0
463,ddcc2c1f97a82fd91a474135b2c209db,192,281,0,0,2018-06-22 19:51:47.0,2018-06-22 19:52:14.0
464,2e7b264ca5a3191b6093ebf01b97e6e1,192,282,0,1,2018-06-22 19:51:47.0,2018-10-11 16:27:19.0
465,1e5903f6bbabd42f97da5ecd2f7ecf3f,192,359,0,0,2018-06-22 19:51:47.0,2018-06-22 19:52:14.0
466,a3b818ea0895b7616fdb35f87db306ec,192,361,0,1,2018-06-22 19:51:47.0,2018-10-11 16:27:19.0
467,2447fe5ee3f82741b503db753cfb421b,192,365,0,0,2018-06-22 19:51:47.0,2018-06-22 19:52:14.0
468,0769f268c79d8d09b3dd64fc7075e020,171,276,0,1,2018-06-22 19:54:01.0,2018-06-22 19:54:01.0
469,6f746da85c0a9df21261cd9b17303ee4,148,527,0,1,2018-06-25 19:58:06.0,2018-06-25 19:58:06.0
470,b4d748a69f272e8c48fdc616e754f91e,117,178,0,1,2018-06-26 15:32:44.0,2018-06-26 15:32:44.0
471,e8471a2d2b9c5a0f3be227270603a0c6,116,176,0,1,2018-06-26 15:34:27.0,2018-06-26 15:34:27.0
472,c1d55af45074e8cebdcfee9b8c02f70b,115,175,0,1,2018-06-26 15:36:19.0,2018-06-26 15:36:19.0
473,092aeee4942fdf66ca0aee09c2c8b4cf,114,171,0,1,2018-06-26 15:38:37.0,2018-06-26 15:38:37.0
474,2332b6d415a8b1c3bcc9cbde2650eaba,113,163,0,1,2018-06-26 15:40:23.0,2018-06-26 15:40:23.0
475,0c8048de111f68c1136b84368ac8be96,2,79,0,1,2018-06-26 16:52:33.0,2018-06-26 16:52:33.0
476,09363103e444abeded4c20982181971c,2,80,0,1,2018-06-26 16:52:33.0,2018-06-26 16:52:33.0
477,9c54579a36a2f97d25c96c865e89d828,40,32,0,1,2018-06-26 18:14:47.0,2018-06-26 18:14:47.0
478,5c3958e22e99e5d5890f3bcadf26cd21,24,7,0,1,2018-06-26 18:33:29.0,2018-06-26 18:33:29.0
479,7e21572b06508497a69005eee1e1a2c3,149,365,0,0,2018-06-26 18:43:09.0,2018-09-21 20:24:23.0
480,ccbd7b86521a5bd9b285c870687cc808,33,249,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
481,264034f900d53204b7ec264c13b54d56,33,4,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
482,dbcd6711db8ab8c32b95fdf5953f1f77,33,6,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
483,de54e2f60a810abc8e4d409365d2bfc9,33,69,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
484,59b6c60ae0f8d48395535fa6e097569a,33,70,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
485,da5961a231e4e8b357e71f0da980dfda,33,71,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
486,e256397ac451c5a48c4f300a7c925dec,33,72,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
487,a17e46a54667e80b06bb2567d5527161,33,74,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
488,0b9217de7bee3731868a39458d43e028,33,99,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
489,e35054e25689e6581767a0f28e5c668e,33,116,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
490,5a00f3d2acce573b8a83d6aa212ed5ff,33,117,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
491,b42837ca746b28fb487831bc441d1ce0,33,118,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
492,76253210ff680316791b7c3e74098f56,33,119,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
493,a5c3d67c092f79a8241bbb773a37f02c,33,140,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
494,20f7bccbee4dddc996a9617389e8f05f,33,36,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
495,cd00d55e2149f0117249b2362893df5a,33,38,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
496,45a6e9e32c51cc204e99af0797165248,33,64,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
497,bbac3ebef79699313c99bed874358e08,33,65,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
498,75a18a21abfcf44ef31d6c92b9770f56,33,67,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:12.0
499,95bdbc60405282d28a498610d4a80f48,33,68,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
500,4bbdd50a9a8ba4e8c87a4e8d131d3668,33,35,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
501,473f311527b53047bbb4cc54006f999f,33,37,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
502,eea2fd02512328d853cd00a1bc542dca,33,73,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
503,553e4ed0dfb4fbe174a93b66707ea02f,33,53,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
504,b03b5d4d6c32fdf85ff526581a837e98,33,40,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
505,2dfc54956697066f5e6ba9a40c246bca,33,41,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
506,35ba726d6db2d6e62028e62d788feb8c,33,42,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
507,3abbf9a5a320041becc28265d5c2f0de,33,43,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
508,774f261f5bd2ffed1104e676f36301d7,33,44,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
509,0d04a3ee56fda8477a09bcd8ca96abca,33,45,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
510,f4c0115b780633e33cbdda4c803f9c8f,33,46,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
511,fc7cc2d509528288c9a7aeb685c65eba,33,47,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
512,f965de7dff18168016033b64ff8d463c,33,48,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
513,9a90712dbc81996fc4ee5d2c023582d8,33,49,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
514,6a60bc85e5024ddb6deb3698ab5957a2,33,525,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
515,7d1ea8d717eeef5f6d7a4b4ff7a654b4,33,507,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
516,cbfda622df8187b4588efc430b5b1a40,33,83,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
517,c95d5ddfee7c82f3f3869a36fa9ae9d2,33,84,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
518,5901ad15bdf297d114927fd1cacfb37c,33,87,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
519,99b05d8eca806fafb1301df48686186a,33,88,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
520,00512ca4eb381b5f615f62ce88088859,33,89,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
521,b51e16ceb2114d7fdc981d6ab9bb59f6,33,90,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
522,9bba43e89ffaa9f709004eeeb1251057,33,91,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
523,2f5d122b3ba242badd076e8dd401d968,33,92,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
524,e83b81dbae1916252bdc2c9bb2fbd577,33,93,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
525,92e174a29481fde4485929a30945ee94,33,94,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
526,a1b4c526f4ef05d11a3ba3b6f27126ae,33,85,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
527,a2ceabc03b9c7378b0664bc0a36a50d3,33,96,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
528,d4cb57390bf4dea4c22ec39f0e8c28a0,33,39,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
529,8f1bdd477f23414b8e31c01f432a2d1f,33,75,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
530,85185ac8611652d5d8c35b80d00a52c2,33,76,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
531,96727e9c34eede486ef43edfe27febd7,33,77,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
532,aeb52172c4e60bb214d454ab2e62bee5,33,78,0,0,2018-06-26 19:07:39.0,2018-06-26 19:08:13.0
533,caeb755947a8267d8183f30bdcf13815,33,79,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
534,c3213dfd5fa566fb16496ba199c3d3e0,33,80,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
535,bf52268d7752b59a1c8dfbed234a2a55,33,86,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
536,d5b14e898d8728ba02da65c28898cf1e,33,105,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
537,67930f7410bc15d161c05f1af17acb76,33,58,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
538,8f6f49f3bdb0edd56364db23c106bf32,33,82,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
539,d379b511d296fa6e9f2ae0c2753513d6,33,97,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
540,e2ade3407472d3d535f66887b68a3d60,33,98,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
541,6f6a21fc0d5bae8a6fe00299bcb3c52b,33,100,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
542,a5d940594e1c53a65a6f861c9c01e524,33,101,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
543,288caa38bb5770d16418d7028f1cc840,33,102,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
544,81e26cc57e906bc6e9ee019bbc8a6f6a,33,103,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
545,32abfc98f3db7441e427e87a569c6417,33,104,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
546,c53220d389d871790488859fe59acbc0,33,106,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
547,62f60153c5ca72a7bc9158fb07fae7f8,33,107,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
548,601dedfc9f23a834e5257335a19bec05,33,108,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
549,f3f8bd5f7ac47e50b2a34dfbda814088,33,109,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
550,458e12882ffc671e8a88846cdaa365c9,33,110,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
551,e0c8f6e1d786194eb5d202245f89f034,33,111,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
552,492d3458271e9c8c840a1084c3e1081e,33,112,0,0,2018-06-26 19:07:40.0,2018-06-26 19:08:13.0
