fields_cust_id,feature_id,user_id,fields_value,lang_id,created_at,updated_at
332,519,18769,Adobe Xd,3,2019-06-10 13:21:47.0,2019-06-10 13:21:47.0
333,56,18786,Musica dad,3,2019-06-11 15:47:33.0,2019-06-11 15:47:33.0
334,56,18823,Baladas,3,2019-06-13 06:40:56.0,2019-06-13 06:40:56.0
335,56,17862,Reggue,3,2019-06-15 05:35:22.0,2019-06-15 05:35:22.0
336,278,18864,Tragedia,3,2019-06-16 00:35:29.0,2019-06-16 00:35:29.0
337,56,18864,Clasica,3,2019-06-16 00:37:15.0,2019-06-16 00:37:15.0
339,56,18905,Requeton,3,2019-06-17 20:04:14.0,2019-06-17 20:04:14.0
340,56,18916,Mostly Pop,1,2019-06-18 06:06:36.0,2019-06-18 06:06:36.0
341,56,18941,Trapeton,3,2019-06-19 22:51:57.0,2019-06-19 22:51:57.0
342,520,18946,Parkour,3,2019-06-20 11:22:18.0,2019-06-20 11:22:18.0
343,520,18946,Parkour,3,2019-06-20 11:22:33.0,2019-06-20 11:22:33.0
344,234,18946,Parkour,3,2019-06-20 11:24:05.0,2019-06-20 11:24:05.0
345,252,18946,Far cry4,3,2019-06-20 11:26:03.0,2019-06-20 11:26:03.0
346,252,18946,Unchated,3,2019-06-20 11:26:19.0,2019-06-20 11:26:19.0
347,252,18946,Need for speed,3,2019-06-20 11:26:33.0,2019-06-20 11:26:33.0
348,253,18946,Xbox 360,3,2019-06-20 11:27:18.0,2019-06-20 11:27:18.0
349,253,18946,Pc,3,2019-06-20 11:27:34.0,2019-06-20 11:27:34.0
350,56,18989,Musica romantica,3,2019-06-22 13:53:39.0,2019-06-22 13:53:39.0
352,56,18944,ADORACION ALABANZAS,3,2019-06-22 16:26:11.0,2019-06-22 16:26:11.0
353,56,18944,ADORACION,3,2019-06-22 16:26:37.0,2019-06-22 16:26:37.0
355,56,19086,Contemporanea,3,2019-06-28 14:00:54.0,2019-06-28 14:00:54.0
356,56,19086,R&b,3,2019-06-28 14:01:43.0,2019-06-28 14:01:43.0
357,56,19154,Artista urbano,3,2019-07-02 15:43:16.0,2019-07-02 15:43:16.0
358,56,17368,"Trap,trapbow y rap",3,2019-07-10 13:39:29.0,2019-07-10 13:39:29.0
359,56,19481,Denbow,3,2019-07-11 17:37:37.0,2019-07-11 17:37:37.0
360,56,19486,Trap reg,3,2019-07-11 23:36:23.0,2019-07-11 23:36:23.0
365,518,19593,Cube,3,2019-07-15 03:10:28.0,2019-07-15 03:10:28.0
369,518,19593,Fl Studio,3,2019-07-15 03:12:00.0,2019-07-15 03:12:00.0
375,56,19593,Alternativa,3,2019-07-15 03:14:50.0,2019-07-15 03:14:50.0
379,152,19593,Fl studio,3,2019-07-15 03:27:47.0,2019-07-15 03:27:47.0
380,152,19593,Cubase,3,2019-07-15 03:28:03.0,2019-07-15 03:28:03.0
381,152,19593,Sibelius,3,2019-07-15 03:28:10.0,2019-07-15 03:28:10.0
382,56,19053,Variado,3,2019-07-20 16:03:00.0,2019-07-20 16:03:00.0
