skills_id,skills_key,linked_type,title,level,order_no,status,user_id,lifework_id,is_custom,created_at,updated_at
27,35e02a4b3b7e2ec0634e66350b22e7af,3,"{""en"": ""Personal stylist"", ""es"": ""Estilista personal""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",537,1,0,0,0,2017-11-14 16:44:30.0,2018-09-27 16:41:28.0
28,522f009e679bb402b97a90b34462d137,3,"{""en"": ""Photoshoot coordinator"", ""es"": ""Coordinador de sesiones fotográficas""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",538,1,0,0,0,2017-11-14 16:44:55.0,2018-09-27 16:41:28.0
29,27469216ef258370517f63e2855fd988,3,"{""en"": ""Minor events planner"", ""es"": ""Organizador de eventos menores""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",539,1,0,0,0,2017-11-14 16:45:57.0,2018-09-27 16:41:28.0
30,1f30595f2c512eca0d02e5d0ad61a16a,3,"{""en"": ""Purchases & storage"", ""es"": ""Compras y almacén""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",540,0,0,0,0,2017-11-14 16:46:26.0,2018-09-27 16:41:28.0
31,f2e05749e24ac293afae882c11497f32,3,"{""en"": ""Web developer"", ""es"": ""Desarrollador web""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",541,1,0,0,0,2017-11-14 16:47:02.0,2019-03-07 17:05:20.0
32,fede32038a6582641c2831c08870cbda,3,"{""en"": ""Product stylist"", ""es"": ""Estilista de producto""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",542,1,0,0,0,2017-11-14 16:47:35.0,2018-09-27 16:41:28.0
33,643bd0b5df40cbc4520ee2f861a2f4d5,3,"{""en"": ""Trend coordinator"", ""es"": ""Coordinador de tendencias""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",543,1,0,0,0,2017-11-14 16:47:57.0,2018-09-27 16:41:28.0
34,357a1dce2f361ee88d90b08ede28d08a,3,"{""en"": ""Image adviser"", ""es"": ""Asesor de imagen""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",544,1,0,0,0,2017-11-14 16:48:40.0,2018-09-27 16:41:28.0
35,403b8ae05d5f58c7605382473224ca86,3,"{""en"": ""Arranger"", ""es"": ""Arreglista""}","{""en"": {""1"": "" Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",545,1,0,0,0,2017-11-14 16:59:18.0,2018-09-27 16:41:28.0
36,2ccd186df47a388b254cdf8de3df25e6,3,"{""en"": ""Sound engenieer"", ""es"": ""Sonidista""}","{""en"": {""1"": "" Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",546,1,0,0,0,2017-11-14 17:00:30.0,2018-09-27 16:41:28.0
37,866ecf14ff5eebd0c8a9731265bc63c5,3,"{""en"": ""Conductor"", ""es"": ""Director(a) de orquesta""}","{""en"": {""1"": "" Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8+ años)""}}",547,1,0,0,0,2017-11-14 17:01:38.0,2018-09-27 16:41:28.0
38,660853143fc3b725f359b0402e5fb4b6,3,"{""en"": ""Music manager"", ""es"": ""Manejador musical""}","{""en"": {""1"": "" Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",549,1,0,0,0,2017-11-14 17:02:32.0,2018-09-27 16:41:28.0
39,a780d2d3e22e6a7c7481f2a9f2c26bc3,3,"{""en"": ""Chorister"", ""es"": ""Corista""}","{""en"": {""1"": "" Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",550,1,0,0,0,2017-11-14 17:08:45.0,2018-09-27 16:41:28.0
40,f20c7cb26259b78b88ca15afc1ee9d06,3,"{""en"": ""Guitarist"", ""es"": ""Guitarrista""}","{""en"": {""1"": "" Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",551,1,0,0,0,2017-11-14 17:12:17.0,2018-09-27 16:41:28.0
41,1fe093e59661ae4b83ff3c789d97468d,3,"{""en"": ""Violinist"", ""es"": ""Violinista""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",552,1,0,0,0,2017-11-14 17:12:41.0,2018-09-27 16:41:28.0
42,3e7cbe746b0a1d7c03bc91ac4d9ec34d,3,"{""en"": ""Drummer"", ""es"": ""Baterista""}","{""en"": {""1"": "" Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",553,1,0,0,0,2017-11-14 17:13:01.0,2018-09-27 16:41:28.0
43,be3164b424d7208445571a917475a010,3,"{""en"": ""Bass guitarist"", ""es"": ""Bajista""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",554,1,0,0,0,2017-11-14 17:13:20.0,2018-09-27 16:41:28.0
44,15f02e30b08564190cfe802f449e0ee6,3,"{""en"": ""Percussionist"", ""es"": ""Percusionista""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",555,1,0,0,0,2017-11-14 17:13:35.0,2018-09-27 16:41:28.0
45,583a33eb0a1c164c4396c590a4fb41d7,3,"{""en"": ""Pianist"", ""es"": ""Pianista""}","{""en"": {""1"": "" Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",556,1,0,0,0,2017-11-14 17:14:42.0,2018-09-27 16:41:28.0
