module_id,title,sub_title,linked_type,order_no,status,created_at,updated_at
79,"{""en"": ""Physical Therapy Information"", ""es"": ""Información de Fisioterapia""}","{""en"": ""."", ""es"": "".""}",3,67,1,2018-06-14 03:03:02.0,2018-09-27 19:39:08.0
80,"{""en"": ""Photography Information"", ""es"": ""Información de Fotografía""}","{""en"": ""."", ""es"": "".""}",3,65,1,2018-06-14 03:10:14.0,2018-09-27 19:39:08.0
81,"{""en"": ""Stabilizer Information"", ""es"": ""Información de Estabilizador""}","{""en"": ""."", ""es"": "".""}",3,68,1,2018-06-14 03:15:50.0,2018-09-27 19:39:08.0
82,"{""en"": ""Motion Capture Information"", ""es"": ""Información de Captura de Movimiento""}","{""en"": ""mo-cap, mocap, Motion capture"", ""es"": ""mo-cap, mocap, Motion capture""}",3,69,1,2018-06-14 03:18:31.0,2018-09-27 19:39:08.0
83,"{""en"": ""Illustration Information"", ""es"": ""Información de Ilustración""}","{""en"": ""."", ""es"": "".""}",3,70,1,2018-06-14 03:24:42.0,2018-09-27 20:59:10.0
84,"{""en"": ""Costume Design Information"", ""es"": ""Información de Diseño de Vestuario""}","{""en"": ""Costume Design experience"", ""es"": ""Experiencia en Diseño de Vestuario""}",3,71,1,2018-06-14 03:35:08.0,2018-09-27 19:39:08.0
85,"{""en"": ""Graphic Design Information"", ""es"": ""Información de Diseño Gráfico""}","{""en"": ""."", ""es"": "".""}",3,72,1,2018-06-14 14:18:30.0,2018-09-27 20:49:32.0
86,"{""en"": ""Photoshoot Information"", ""es"": ""Información de Sesiones Fotográficas""}","{""en"": ""."", ""es"": "".""}",3,73,1,2018-06-14 14:31:43.0,2018-09-27 19:39:08.0
87,"{""en"": ""Combat Sports Information"", ""es"": ""Información de Deportes de Combate""}","{""en"": ""."", ""es"": "".""}",3,74,1,2018-06-14 14:47:10.0,2018-09-27 19:39:08.0
88,"{""en"": ""Polo Information"", ""es"": ""Información de Polo""}","{""en"": ""."", ""es"": "".""}",3,75,1,2018-06-14 14:54:16.0,2018-09-27 19:39:08.0
89,"{""en"": ""Soccer Information"", ""es"": ""Información de Soccer""}","{""en"": ""."", ""es"": "".""}",3,76,1,2018-06-14 15:00:55.0,2018-09-27 19:39:08.0
90,"{""en"": ""Information of Aestheticism"", ""es"": ""Información de Esteticismo""}","{""en"": ""."", ""es"": "".""}",3,78,1,2018-06-14 15:07:39.0,2018-10-10 19:56:52.0
91,"{""en"": ""Martial Arts"", ""es"": ""Artes Marciales""}","{""en"": ""."", ""es"": "".""}",3,77,1,2018-06-14 15:10:18.0,2018-09-27 19:39:08.0
92,"{""en"": ""Training Audience"", ""es"": ""Audiencia de Entrenamiento""}","{""en"": ""Audience"", ""es"": ""Entrenadores""}",3,233,1,2018-06-14 15:15:46.0,2018-09-27 19:39:11.0
93,"{""en"": ""Swimming Information"", ""es"": ""Información de Natación""}","{""en"": ""."", ""es"": "".""}",3,79,1,2018-06-14 15:20:28.0,2018-09-27 19:39:08.0
94,"{""en"": ""Football Information"", ""es"": ""Información de Fútbol Americano""}","{""en"": ""."", ""es"": "".""}",3,80,1,2018-06-14 15:27:22.0,2018-09-27 19:39:08.0
95,"{""en"": ""Basketball Information"", ""es"": ""Información de Baloncesto""}","{""en"": ""."", ""es"": "".""}",3,81,1,2018-06-14 15:32:18.0,2018-09-27 19:39:08.0
96,"{""en"": ""Volleyball Information"", ""es"": ""Información de Voleibol""}","{""en"": ""."", ""es"": "".""}",3,82,1,2018-06-14 15:40:15.0,2018-09-27 19:39:08.0
97,"{""en"": ""Baseball Information"", ""es"": ""Información de Béisbol""}","{""en"": ""."", ""es"": "".""}",3,83,1,2018-06-14 15:45:17.0,2018-09-27 19:39:08.0
98,"{""en"": ""Hockey Information"", ""es"": ""Información de Hockey""}","{""en"": ""."", ""es"": "".""}",3,84,1,2018-06-14 15:52:55.0,2018-09-27 19:39:08.0
99,"{""en"": ""Gymnastics Information"", ""es"": ""Información de Gimnasia""}","{""en"": ""."", ""es"": "".""}",3,85,1,2018-06-14 15:55:52.0,2018-09-27 19:39:08.0
100,"{""en"": ""Skating Information"", ""es"": ""Información de Patinaje""}","{""en"": ""."", ""es"": "".""}",3,86,1,2018-06-14 16:01:58.0,2018-09-27 19:39:08.0
101,"{""en"": ""Institute Information"", ""es"": ""Información de Instituto""}","{""en"": ""Business, Company"", ""es"": ""Compañía, Negocios""}",3,87,1,2018-06-14 16:05:31.0,2018-10-12 17:58:28.0
102,"{""en"": ""Tennis Information"", ""es"": ""Información de Tenis""}","{""en"": ""."", ""es"": "".""}",3,88,1,2018-06-14 16:08:38.0,2018-09-27 19:39:08.0
103,"{""en"": ""Parkour & Freerunning "", ""es"": ""Parkour y Freerunning""}","{""en"": ""."", ""es"": "".""}",3,89,1,2018-06-14 16:13:46.0,2018-09-27 19:39:08.0
104,"{""en"": ""empty"", ""es"": ""vacio""}","{""en"": ""."", ""es"": "".""}",3,90,0,2018-06-14 16:25:13.0,2018-11-07 22:18:24.0
105,"{""en"": ""Games Information"", ""es"": ""Información de Juegos""}","{""en"": ""."", ""es"": "".""}",3,91,1,2018-06-14 16:35:24.0,2018-09-27 19:39:08.0
106,"{""en"": ""Console Information"", ""es"": ""Información de Consolas""}","{""en"": ""."", ""es"": "".""}",3,93,1,2018-06-14 16:48:05.0,2018-09-27 19:39:08.0
107,"{""en"": ""Aerobic Exercises Information"", ""es"": ""Información de Ejercicios Aeróbicos""}","{""en"": ""."", ""es"": "".""}",3,94,1,2018-06-14 16:55:55.0,2018-09-27 19:39:08.0
108,"{""en"": ""Anaerobic Exercises Information"", ""es"": ""Información de Ejercicios Anaeróbicos""}","{""en"": ""."", ""es"": "".""}",3,95,1,2018-06-14 17:05:32.0,2018-09-27 19:39:09.0
109,"{""en"": ""Experience"", ""es"": ""Experiencia""}","{""en"": ""Receptionist, reservations, telephone, security, maintenance, customer service"", ""es"": ""Recepcionista, reservas, teléfonos, servicio al cliente, mantenimiento, seguridad""}",3,96,1,2018-06-14 17:33:22.0,2018-09-27 19:39:09.0
110,"{""en"": ""Housekeeping Information"", ""es"": ""Información de Ama de llaves""}","{""en"": ""."", ""es"": "".""}",3,97,1,2018-06-14 17:38:54.0,2018-09-27 19:39:09.0
111,"{""en"": ""Travel Agent Information"", ""es"": ""Información de Agente de Viajes""}","{""en"": ""."", ""es"": "".""}",3,98,1,2018-06-14 17:42:47.0,2018-09-27 19:39:09.0
112,"{""en"": ""Mayor Events"", ""es"": ""Eventos Mayores""}","{""en"": ""."", ""es"": "".""}",3,99,1,2018-06-14 17:49:49.0,2018-09-27 19:39:09.0
113,"{""en"": ""Water Activities"", ""es"": ""Actividades Acuáticas""}","{""en"": ""."", ""es"": "".""}",3,100,1,2018-06-14 18:03:37.0,2018-09-27 19:39:09.0
114,"{""en"": ""Mountain Activities"", ""es"": ""Actividades de Montaña""}","{""en"": ""."", ""es"": "".""}",3,101,1,2018-06-14 18:17:52.0,2018-09-27 19:39:09.0
115,"{""en"": ""Desert Activities"", ""es"": ""Actividades del Desierto""}","{""en"": ""."", ""es"": "".""}",3,102,1,2018-06-14 18:29:07.0,2018-09-27 19:39:09.0
116,"{""en"": ""Forest Activities"", ""es"": ""Actividades del Bosque""}","{""en"": ""."", ""es"": "".""}",3,103,1,2018-06-14 18:30:55.0,2018-09-27 19:39:09.0
117,"{""en"": ""Aerial Activities Information"", ""es"": ""Información de Actividades Aéreas""}","{""en"": ""."", ""es"": "".""}",3,104,1,2018-06-14 18:32:54.0,2018-09-27 19:39:09.0
118,"{""en"": ""Journalism Information"", ""es"": ""Información de Periodismo""}","{""en"": ""."", ""es"": "".""}",3,105,1,2018-06-14 18:40:52.0,2018-09-27 19:39:09.0
119,"{""en"": ""Writing Information"", ""es"": ""Información de Escritura""}","{""en"": ""Writers"", ""es"": ""Escritores""}",3,106,1,2018-06-14 18:47:38.0,2018-09-27 19:39:09.0
120,"{""en"": ""Creative Writing"", ""es"": ""Escritura Creativa""}","{""en"": ""."", ""es"": "".""}",3,107,1,2018-06-15 17:27:52.0,2018-09-27 19:39:09.0
121,"{""en"": ""Performative Writing"", ""es"": ""Escritura Interpretativa""}","{""en"": ""."", ""es"": "".""}",3,108,1,2018-06-15 17:43:12.0,2018-09-27 19:39:09.0
